index,Unnamed: 0,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,EXPIRY_DAYS,Approx_Spot_Price,Model_Price,Price_Difference
2387808,31340918,OPTIDX,BANKNIFTY,2019-09-26,29700.0,CE,0.0,0.0,0.0,2507.55,173.35,0.0,0.0,0.0,0.0,2019-08-30,27,31656.203580702575,2145.72595789471,-361.8240421052901
2387886,31340996,OPTIDX,BANKNIFTY,2019-09-26,29700.0,PE,0.0,0.0,0.0,441.7,2318.15,0.0,0.0,0.0,0.0,2019-08-30,27,31656.203580702575,105.16826353556422,-336.53173646443577
2387886,31340996,OPTIDX,BANKNIFTY,2019-09-26,29700.0,PE,0.0,0.0,0.0,441.7,2318.15,0.0,0.0,0.0,0.0,2019-08-30,27,31656.203580702575,76.6481531233468,-365.0518468766532
2387964,31341074,OPTIDX,BANKNIFTY,2019-10-03,29700.0,CE,0.0,0.0,0.0,516.35,246.5,0.0,0.0,0.0,0.0,2019-08-30,34,28563.642868824565,302.1776580356238,-214.17234196437624
2387964,31341074,OPTIDX,BANKNIFTY,2019-10-03,29700.0,CE,0.0,0.0,0.0,516.35,246.5,0.0,0.0,0.0,0.0,2019-08-30,34,28563.642868824565,328.02471127719,-188.32528872281
2388011,31341121,OPTIDX,BANKNIFTY,2019-10-03,29700.0,PE,0.0,0.0,0.0,1514.7,2348.15,0.0,0.0,0.0,0.0,2019-08-30,34,28563.642868824565,1300.7879516720345,-213.91204832796552
2388011,31341121,OPTIDX,BANKNIFTY,2019-10-03,29700.0,PE,0.0,0.0,0.0,1514.7,2348.15,0.0,0.0,0.0,0.0,2019-08-30,34,28563.642868824565,1321.739357654574,-192.9606423454261
2388058,31341168,OPTIDX,BANKNIFTY,2019-10-10,29700.0,CE,0.0,0.0,0.0,530.3,318.7,0.0,0.0,0.0,0.0,2019-08-30,41,28263.759339115095,324.4498978684561,-205.85010213154385
2388058,31341168,OPTIDX,BANKNIFTY,2019-10-10,29700.0,CE,0.0,0.0,0.0,530.3,318.7,0.0,0.0,0.0,0.0,2019-08-30,41,28263.759339115095,286.86898453679635,-243.4310154632036
2388105,31341215,OPTIDX,BANKNIFTY,2019-10-10,29700.0,PE,0.0,0.0,0.0,1800.2,2385.4,0.0,0.0,0.0,0.0,2019-08-30,41,28263.759339115095,1612.0665620926952,-188.13343790730482
2388105,31341215,OPTIDX,BANKNIFTY,2019-10-10,29700.0,PE,0.0,0.0,0.0,1800.2,2385.4,0.0,0.0,0.0,0.0,2019-08-30,41,28263.759339115095,1539.9390862287012,-260.2609137712989
2388152,31341262,OPTIDX,BANKNIFTY,2019-10-17,29700.0,CE,0.0,0.0,0.0,639.25,390.25,0.0,0.0,0.0,0.0,2019-08-30,48,28323.50296552157,324.65074308093335,-314.59925691906665
2388152,31341262,OPTIDX,BANKNIFTY,2019-10-17,29700.0,CE,0.0,0.0,0.0,639.25,390.25,0.0,0.0,0.0,0.0,2019-08-30,48,28323.50296552157,418.8036092588981,-220.44639074110188
2388197,31341307,OPTIDX,BANKNIFTY,2019-10-17,29700.0,PE,0.0,0.0,0.0,1821.1,2422.0,0.0,0.0,0.0,0.0,2019-08-30,48,28323.50296552157,1538.4056397508868,-282.69436024911306
2388197,31341307,OPTIDX,BANKNIFTY,2019-10-17,29700.0,PE,0.0,0.0,0.0,1821.1,2422.0,0.0,0.0,0.0,0.0,2019-08-30,48,28323.50296552157,1568.5560956083214,-252.54390439167855
2388242,31341352,OPTIDX,BANKNIFTY,2019-10-24,29700.0,CE,0.0,0.0,0.0,771.5,461.55,0.0,0.0,0.0,0.0,2019-08-30,55,28194.87372201635,440.113014862666,-331.386985137334
2388242,31341352,OPTIDX,BANKNIFTY,2019-10-24,29700.0,CE,0.0,0.0,0.0,771.5,461.55,0.0,0.0,0.0,0.0,2019-08-30,55,28194.87372201635,404.89580544795905,-366.60419455204095
2388286,31341396,OPTIDX,BANKNIFTY,2019-10-24,29700.0,PE,0.0,0.0,0.0,2053.7,2458.4,0.0,0.0,0.0,0.0,2019-08-30,55,28194.87372201635,1618.761442084445,-434.93855791555484
2388286,31341396,OPTIDX,BANKNIFTY,2019-10-24,29700.0,PE,0.0,0.0,0.0,2053.7,2458.4,0.0,0.0,0.0,0.0,2019-08-30,55,28194.87372201635,1690.1616879370783,-363.5383120629215
2388330,31341440,OPTIDX,BANKNIFTY,2019-10-31,29700.0,CE,0.0,0.0,0.0,1110.65,530.45,0.0,0.0,0.0,0.0,2019-08-30,62,29317.42158259676,845.6693003973578,-264.9806996026423
2388330,31341440,OPTIDX,BANKNIFTY,2019-10-31,29700.0,CE,0.0,0.0,0.0,1110.65,530.45,0.0,0.0,0.0,0.0,2019-08-30,62,29317.42158259676,840.5784352390697,-270.0715647609304
2388386,31341496,OPTIDX,BANKNIFTY,2019-10-31,29700.0,PE,0.0,0.0,0.0,1242.05,2492.45,0.0,0.0,0.0,0.0,2019-08-30,62,29317.42158259676,1053.9963971905304,-188.05360280946957
2388386,31341496,OPTIDX,BANKNIFTY,2019-10-31,29700.0,PE,0.0,0.0,0.0,1242.05,2492.45,0.0,0.0,0.0,0.0,2019-08-30,62,29317.42158259676,1076.814150009075,-165.23584999092486
2392248,31345358,OPTSTK,ACC,2019-09-26,1400.0,CE,0.0,0.0,0.0,154.0,140.8,0.0,0.0,800.0,0.0,2019-08-30,27,1539.23148191864,146.32018765648502,-7.679812343514982
2392248,31345358,OPTSTK,ACC,2019-09-26,1400.0,CE,0.0,0.0,0.0,154.0,140.8,0.0,0.0,800.0,0.0,2019-08-30,27,1539.23148191864,149.66250774246626,-4.337492257533739
2392284,31345394,OPTSTK,ACC,2019-09-26,1400.0,PE,12.8,16.95,9.2,9.6,9.6,30.0,169.55,17600.0,2400.0,2019-08-30,27,1539.23148191864,0.8441854547487665,-8.755814545251233
2392284,31345394,OPTSTK,ACC,2019-09-26,1400.0,PE,12.8,16.95,9.2,9.6,9.6,30.0,169.55,17600.0,2400.0,2019-08-30,27,1539.23148191864,0.9124313649883091,-8.68756863501169
2392320,31345430,OPTSTK,ACC,2019-10-31,1400.0,CE,0.0,0.0,0.0,234.55,169.7,0.0,0.0,0.0,0.0,2019-08-30,62,1598.209939920386,214.0636348662311,-20.486365133768913
2392320,31345430,OPTSTK,ACC,2019-10-31,1400.0,CE,0.0,0.0,0.0,234.55,169.7,0.0,0.0,0.0,0.0,2019-08-30,62,1598.209939920386,204.13992659782338,-30.410073402176636
2392356,31345466,OPTSTK,ACC,2019-10-31,1400.0,PE,0.0,0.0,0.0,24.5,35.25,0.0,0.0,0.0,0.0,2019-08-30,62,1598.209939920386,2.739557421361185,-21.760442578638816
2392356,31345466,OPTSTK,ACC,2019-10-31,1400.0,PE,0.0,0.0,0.0,24.5,35.25,0.0,0.0,0.0,0.0,2019-08-30,62,1598.209939920386,2.606122025846322,-21.89387797415368
2392392,31345502,OPTSTK,ACC,2019-11-28,1400.0,CE,0.0,0.0,0.0,173.7,189.0,0.0,0.0,0.0,0.0,2019-08-30,90,1504.3456890649784,136.007238771767,-37.692761228232996
2392392,31345502,OPTSTK,ACC,2019-11-28,1400.0,CE,0.0,0.0,0.0,173.7,189.0,0.0,0.0,0.0,0.0,2019-08-30,90,1504.3456890649784,141.8421792693368,-31.857820730663178
2392425,31345535,OPTSTK,ACC,2019-11-28,1400.0,PE,0.0,0.0,0.0,52.2,48.05,0.0,0.0,0.0,0.0,2019-08-30,90,1504.3456890649784,16.044885508938275,-36.155114491061724
2392425,31345535,OPTSTK,ACC,2019-11-28,1400.0,PE,0.0,0.0,0.0,52.2,48.05,0.0,0.0,0.0,0.0,2019-08-30,90,1504.3456890649784,14.036621278316964,-38.16337872168304
2423247,32075205,OPTIDX,BANKNIFTY,2019-10-31,29700.0,CE,458.45,508.85,240.0,357.9,357.9,55349.0,332898.18,44600.0,-203460.0,2019-10-30,1,29979.881785500507,321.3262164128613,-36.57378358713868
2423247,32075205,OPTIDX,BANKNIFTY,2019-10-31,29700.0,CE,458.45,508.85,240.0,357.9,357.9,55349.0,332898.18,44600.0,-203460.0,2019-10-30,1,29979.881785500507,324.2644914503433,-33.63550854965666
2423318,32075276,OPTIDX,BANKNIFTY,2019-10-31,29700.0,PE,142.05,200.0,52.5,73.95,73.95,447690.0,2667446.83,275280.0,80800.0,2019-10-30,1,29979.881785500507,27.980653379469395,-45.96934662053061
2423318,32075276,OPTIDX,BANKNIFTY,2019-10-31,29700.0,PE,142.05,200.0,52.5,73.95,73.95,447690.0,2667446.83,275280.0,80800.0,2019-10-30,1,29979.881785500507,30.08025498994152,-43.86974501005848
2423389,32075347,OPTIDX,BANKNIFTY,2019-11-07,29700.0,CE,650.0,713.4,495.0,591.05,591.05,215.0,1303.58,1440.0,-80.0,2019-10-30,8,29963.269882771943,497.0907924827581,-93.95920751724185
2423389,32075347,OPTIDX,BANKNIFTY,2019-11-07,29700.0,CE,650.0,713.4,495.0,591.05,591.05,215.0,1303.58,1440.0,-80.0,2019-10-30,8,29963.269882771943,504.41709509982866,-86.6329049001713
2423460,32075418,OPTIDX,BANKNIFTY,2019-11-07,29700.0,PE,304.3,403.45,243.5,295.25,295.25,3469.0,20814.72,13960.0,9360.0,2019-10-30,8,29963.269882771943,220.05532787076777,-75.19467212923223
2423460,32075418,OPTIDX,BANKNIFTY,2019-11-07,29700.0,PE,304.3,403.45,243.5,295.25,295.25,3469.0,20814.72,13960.0,9360.0,2019-10-30,8,29963.269882771943,218.31276310169116,-76.93723689830884
