SYMBOL,STRIKE_PR,EXPIRY_DT,TIMESTAMP,Approx_Spot_Price
BANKNIFTY,29700.0,2019-08-01,2019-08-01,28339.731785500506
BANKNIFTY,29700.0,2019-08-01,2019-08-01,28339.731785500506
BANKNIFTY,29700.0,2019-08-08,2019-08-01,28448.234198113598
BANKNIFTY,29700.0,2019-08-08,2019-08-01,28448.234198113598
BANKNIFTY,29700.0,2019-08-14,2019-08-01,31259.856655299616
BANKNIFTY,29700.0,2019-08-14,2019-08-01,31259.856655299616
BANKNIFTY,29700.0,2019-08-22,2019-08-01,31037.7344168661
BANKNIFTY,29700.0,2019-08-22,2019-08-01,31037.7344168661
BANKNIFTY,29700.0,2019-08-29,2019-08-01,28080.550385231792
BANKNIFTY,29700.0,2019-08-29,2019-08-01,28080.550385231792
BANKNIFTY,29700.0,2019-09-05,2019-08-01,30782.19355811672
BANKNIFTY,29700.0,2019-09-05,2019-08-01,30782.19355811672
BANKNIFTY,29700.0,2019-09-12,2019-08-01,30891.66390944686
BANKNIFTY,29700.0,2019-09-12,2019-08-01,30891.66390944686
BANKNIFTY,29700.0,2019-09-19,2019-08-01,30573.36141317318
BANKNIFTY,29700.0,2019-09-19,2019-08-01,30573.36141317318
BANKNIFTY,29700.0,2019-09-26,2019-08-01,31538.886043271617
BANKNIFTY,29700.0,2019-09-26,2019-08-01,31538.886043271617
BANKNIFTY,29700.0,2019-10-31,2019-08-01,29200.66518024789
BANKNIFTY,29700.0,2019-10-31,2019-08-01,29200.66518024789
ACC,1400.0,2019-08-29,2019-08-01,1567.1904221994785
ACC,1400.0,2019-08-29,2019-08-01,1567.1904221994785
ACC,1400.0,2019-09-26,2019-08-01,1593.7013623091
ACC,1400.0,2019-09-26,2019-08-01,1593.7013623091
ACC,1400.0,2019-10-31,2019-08-01,1592.7062711227961
ACC,1400.0,2019-10-31,2019-08-01,1592.7062711227961
BANKNIFTY,29700.0,2019-11-07,2019-11-01,30275.449070248906
BANKNIFTY,29700.0,2019-11-07,2019-11-01,30275.449070248906
BANKNIFTY,29700.0,2019-11-14,2019-11-01,30045.006655299614
BANKNIFTY,29700.0,2019-11-14,2019-11-01,30045.006655299614
BANKNIFTY,29700.0,2019-11-21,2019-11-01,29197.59150082672
BANKNIFTY,29700.0,2019-11-21,2019-11-01,29197.59150082672
BANKNIFTY,29700.0,2019-11-28,2019-11-01,30257.153580702576
BANKNIFTY,29700.0,2019-11-28,2019-11-01,30257.153580702576
BANKNIFTY,29700.0,2019-12-05,2019-11-01,28587.692868824564
BANKNIFTY,29700.0,2019-12-05,2019-11-01,28587.692868824564
BANKNIFTY,29700.0,2019-12-12,2019-11-01,28298.009339115095
BANKNIFTY,29700.0,2019-12-12,2019-11-01,28298.009339115095
BANKNIFTY,29700.0,2019-12-19,2019-11-01,29096.702965521567
BANKNIFTY,29700.0,2019-12-19,2019-11-01,29096.702965521567
BANKNIFTY,29700.0,2019-12-26,2019-11-01,30231.57372201635
BANKNIFTY,29700.0,2019-12-26,2019-11-01,30231.57372201635
BANKNIFTY,29700.0,2020-01-02,2019-11-01,29190.37158259676
BANKNIFTY,29700.0,2020-01-02,2019-11-01,29190.37158259676
BANKNIFTY,29700.0,2020-01-30,2019-11-01,30135.28354659276
BANKNIFTY,29700.0,2020-01-30,2019-11-01,30135.28354659276
ACC,1400.0,2019-11-28,2019-11-01,1556.3314819186398
ACC,1400.0,2019-11-28,2019-11-01,1556.3314819186398
ACC,1400.0,2019-12-26,2019-11-01,1656.841690600097
